Start_Date,Start_Time,Heartrate,Risk
2024-07-29,00:03:04,67,0
2024-07-30,00:03:04,72,0
2024-07-31,00:03:04,71,0
2024-08-01,00:03:04,77,0
2024-08-02,00:03:04,70,0
2024-08-03,00:03:04,75,0
2024-08-04,00:03:04,72,0
2024-08-05,00:03:04,87,0
2024-08-06,00:03:04,78,1
2024-08-07,00:03:04,79,1
2024-08-08,00:03:04,79,1
2024-08-09,00:03:04,79,0
2024-08-10,00:03:04,74,0
2024-08-11,00:03:04,77,0
2024-08-12,00:03:04,73,0
2024-08-13,00:03:04,75,0
2024-08-14,00:03:04,80,0
2024-08-15,00:03:04,77,0
2024-08-16,00:03:04,79,0
2024-08-17,00:03:04,80,0
2024-08-18,00:03:04,80,0
2024-08-19,00:03:04,76,0
2024-08-20,00:03:04,78,0
2024-08-21,00:03:04,71,0
2024-08-22,00:03:04,73,0
2024-08-23,00:03:04,76,0
2024-08-24,00:03:04,74,0
2024-08-25,00:03:04,72,0
2024-08-26,00:03:04,71,0
2024-08-27,00:03:04,72,0
2024-08-28,00:03:04,72,0
2024-08-29,00:03:04,74,0
2024-08-30,00:03:04,69,0
2024-08-31,00:03:04,72,0
2024-09-01,00:03:04,69,0
2024-09-02,00:03:04,68,0
2024-09-03,00:03:04,68,0
2024-09-04,00:03:04,73,0
2024-09-05,00:03:04,70,0
2024-09-06,00:03:04,72,0
2024-09-07,00:03:04,76,0
2024-09-08,00:03:04,76,0
2024-09-09,00:03:04,80,0
2024-09-10,00:03:04,82,1
2024-09-11,00:03:04,73,0
2024-09-12,00:03:04,77,0
2024-09-13,00:03:04,82,0
2024-09-14,00:03:04,80,1
2024-09-15,00:03:04,85,1
2024-09-16,00:03:04,82,1
2024-09-17,00:03:04,84,1
2024-09-18,00:03:04,76,0
2024-09-19,00:03:04,77,0
2024-09-20,00:03:04,76,0
2024-09-21,00:03:04,76,0
2024-09-22,00:03:04,73,0
2024-09-23,00:03:04,75,0
2024-09-24,00:03:04,68,0
2024-09-25,00:03:04,69,0
2024-09-26,00:03:04,69,0
2024-09-27,00:03:04,67,0
2024-09-28,00:03:04,76,0
2024-09-29,00:03:04,70,0
2024-09-30,00:03:04,74,0
2024-10-01,00:03:04,76,0
2024-10-02,00:03:04,75,0
2024-10-03,00:03:04,72,0
2024-10-04,00:03:04,73,0
2024-10-05,00:03:04,73,0
2024-10-06,00:03:04,73,0
2024-10-07,00:03:04,73,0
2024-10-08,00:03:04,77,0
2024-10-09,00:03:04,75,0
2024-10-10,00:03:04,76,0
2024-10-11,00:03:04,77,0
2024-10-12,00:03:04,82,0
2024-10-13,00:03:04,77,0
2024-10-14,00:03:04,77,0
2024-10-15,00:03:04,78,0
2024-10-16,00:03:04,78,0
2024-10-17,00:03:04,80,0
2024-10-18,00:03:04,84,1
2024-10-19,00:03:04,82,1
2024-10-20,00:03:04,77,0
2024-10-21,00:03:04,79,0
2024-10-22,00:03:04,87,0
2024-10-23,00:03:04,83,1
2024-10-24,00:03:04,74,0
2024-10-25,00:03:04,79,0
2024-10-26,00:03:04,75,0
2024-10-27,00:03:04,77,0
2024-10-28,00:03:04,84,0
2024-10-29,00:03:04,76,0
2024-10-30,00:03:04,80,0
2024-10-31,00:03:04,73,0
2024-11-01,00:03:04,77,0
2024-11-02,00:03:04,68,0
2024-11-03,00:03:04,71,0
2024-11-04,00:03:04,71,0
2024-11-05,00:03:04,71,0
