Start_Date,Start_Time,Heartrate,Risk
2028-11-08,04:06:11,94,0
2028-11-10,04:06:11,83,0
2028-11-11,04:06:11,78,0
2028-11-12,04:06:11,94,0
2028-11-13,04:06:11,83,0
2028-11-14,04:06:11,82,0
2028-11-15,04:06:11,79,0
2028-11-16,04:06:11,71,0
2028-11-17,04:06:11,75,0
2028-11-18,04:06:11,73,0
2028-11-19,04:06:11,75,0
2028-11-20,04:06:11,83,0
2028-11-21,04:06:11,84,0
2028-11-22,04:06:11,88,0
2028-11-23,04:06:11,83,0
2028-11-24,04:06:11,80,0
2028-11-25,04:06:11,91,0
2028-11-26,04:06:11,73,0
2028-11-27,04:06:11,87,0
2028-11-28,04:06:11,82,0
2028-11-29,04:06:11,92,0
2028-11-30,04:06:11,100,1
2028-12-01,04:06:11,96,1
2028-12-02,04:06:11,98,1
2028-12-03,04:06:11,86,0
2028-12-04,04:06:11,84,0
2028-12-05,04:06:11,82,0
2028-12-06,04:06:11,92,0
2028-12-07,04:06:11,87,1
2028-12-08,04:06:11,75,0
2028-12-09,04:06:11,85,0
2028-12-10,04:06:11,80,0
2028-12-11,04:06:11,72,0
2028-12-12,04:06:11,80,0
2028-12-13,04:06:11,88,0
2028-12-14,04:06:11,84,0
2028-12-15,04:06:11,90,0
2028-12-16,04:06:11,85,0
2028-12-17,04:06:11,87,0
2028-12-18,04:06:11,73,0
2028-12-19,04:06:11,64,0
2028-12-20,04:06:11,86,0
2028-12-21,04:06:11,75,0
2028-12-22,04:06:11,81,0
2028-12-23,04:06:11,78,0
2028-12-24,04:06:11,79,0
2028-12-25,04:06:11,79,0
2028-12-26,04:06:11,79,0
2028-12-27,04:06:11,79,0
2028-12-28,04:06:11,79,0
2028-12-29,04:06:11,79,0
2028-12-30,04:06:11,79,0
2028-12-31,04:06:11,79,0
2029-01-01,04:06:11,86,0
2029-01-02,04:06:11,79,0
2029-01-03,04:06:11,81,0
2029-01-04,04:06:11,87,0
2029-01-05,04:06:11,84,0
2029-01-06,04:06:11,84,0
2029-01-07,04:06:11,82,0
2029-01-08,04:06:11,83,0
2029-01-09,04:06:11,78,0
2029-01-10,04:06:11,92,0
2029-01-11,04:06:11,92,1
2029-01-12,04:06:11,78,0
2029-01-13,04:06:11,90,0
2029-01-14,04:06:11,83,0
2029-01-15,04:06:11,90,0
2029-01-16,04:06:11,84,0
2029-01-17,04:06:11,95,0
2029-01-18,04:06:11,90,1
2029-01-19,04:06:11,83,0
2029-01-20,04:06:11,80,0
2029-01-21,04:06:11,87,0
2029-01-22,04:06:11,88,1
2029-01-23,04:06:11,87,1
2029-01-24,04:06:11,93,1
2029-01-25,04:06:11,84,0
2029-01-26,04:06:11,89,0
2029-01-27,04:06:11,77,0
2029-01-28,04:06:11,91,0
2029-01-29,04:06:11,94,1
2029-01-30,04:06:11,82,0
2029-01-31,04:06:11,86,0
2029-02-01,04:06:11,79,0
2029-02-02,04:06:11,83,0
2029-02-03,04:06:11,92,0
2029-02-04,04:06:11,86,0
2029-02-05,04:06:11,78,0
2029-02-06,04:06:11,82,0
2029-02-07,04:06:11,80,0
2029-02-08,04:06:11,63,0
2029-02-09,04:06:11,71,0
2029-02-10,04:06:11,78,0
2029-02-11,04:06:11,75,0
2029-02-12,04:06:11,93,0
2029-02-13,04:06:11,119,1
2029-02-14,04:06:11,92,1
2029-02-15,04:06:11,83,0
2029-02-16,04:06:11,83,0
2029-02-17,04:06:11,106,0
2029-02-18,04:06:11,88,1
2029-02-19,04:06:11,91,1
2029-02-20,04:06:11,93,1
2029-02-21,04:06:11,81,0
2029-02-22,04:06:11,90,0
2029-02-23,04:06:11,133,1
2029-02-24,04:06:11,84,0
2029-02-25,04:06:11,109,0
2029-02-26,04:06:11,87,1
2029-02-27,04:06:11,93,1
2029-02-28,04:06:11,90,1
2029-03-01,04:06:11,93,1
2029-03-02,04:06:11,113,1
2029-03-03,04:06:11,91,1
2029-03-04,04:06:11,93,1
2029-03-05,04:06:11,96,1
2029-03-06,04:06:11,112,1
2029-03-07,04:06:11,89,1
2029-03-08,04:06:11,93,1
2029-03-09,04:06:11,111,1
2029-03-10,04:06:11,88,1
2029-03-11,04:06:11,91,1
2029-03-12,04:06:11,89,1
2029-03-13,04:06:11,87,0
2029-03-14,04:06:11,97,0
2029-03-15,04:06:11,93,1
2029-03-16,04:06:11,91,1
2029-03-17,04:06:11,85,0
2029-03-18,04:06:11,89,0
2029-03-19,04:06:11,86,0
2029-03-20,04:06:11,90,0
2029-03-21,04:06:11,89,0
2029-03-22,04:06:11,71,0
2029-03-23,04:06:11,80,0
2029-03-24,04:06:11,75,0
2029-03-25,04:06:11,77,0
2029-03-26,04:06:11,88,0
2029-03-27,04:06:11,93,0
2029-03-28,04:06:11,90,1
2029-03-29,04:06:11,91,1
2029-03-30,04:06:11,91,1
2029-03-31,04:06:11,93,1
2029-04-01,04:06:11,85,0
2029-04-02,04:06:11,97,0
2029-04-03,04:06:11,87,0
2029-04-04,04:06:11,96,0
2029-04-05,04:06:11,102,1
2029-04-06,04:06:11,85,0
2029-04-07,04:06:11,88,0
2029-04-08,04:06:11,86,0
2029-04-09,04:06:11,87,0
2029-04-10,04:06:11,86,0
2029-04-11,04:06:11,91,0
2029-04-12,04:06:11,94,1
2029-04-13,04:06:11,88,0
2029-04-14,04:06:11,120,0
2029-04-15,04:06:11,89,0
2029-04-16,04:06:11,86,0
2029-04-17,04:06:11,93,0
2029-04-18,04:06:11,89,0
2029-04-19,04:06:11,85,0
2029-04-20,04:06:11,106,0
2029-04-21,04:06:11,95,1
2029-04-22,04:06:11,97,1
2029-04-23,04:06:11,95,1
